scope,method_code,method_name,asin,status,status_reason,sample_count,mad,poa,mae,wape,bias
day_pbf_3,M05,Linear Approximation,B0CDWL5QCF,success,,3,2.833333,141.666667,2.833333,1.416667,0.416667
day_pbf_3,M05,Linear Approximation,B0CG5X113C,success,,3,0.166667,0.0,0.166667,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CGL9G1S7,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CH2TV8FC,success,,3,8.666667,137.254902,8.666667,0.509804,0.372549
day_pbf_3,M05,Linear Approximation,B0CHMCHP2W,success,,3,6.166667,150.0,6.166667,0.973684,0.5
day_pbf_3,M05,Linear Approximation,B0CJLR2RRC,success,,3,3.0,123.529412,3.0,0.529412,0.235294
day_pbf_3,M05,Linear Approximation,B0CNC1P8D7,success,,3,4.833333,157.692308,4.833333,1.115385,0.576923
day_pbf_3,M05,Linear Approximation,B0CNKHTGHX,success,,3,0.666667,200.0,0.666667,1.0,1.0
day_pbf_3,M05,Linear Approximation,B0CNQR8JS1,success,,3,3.0,169.230769,3.0,0.692308,0.692308
day_pbf_3,M05,Linear Approximation,B0CNQSGKD3,success,,3,3.166667,75.0,3.166667,1.583333,-0.25
day_pbf_3,M05,Linear Approximation,B0CNQVNDVZ,success,,3,0.333333,0.0,0.333333,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CPPGCN8X,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CQP4SZWF,success,,3,1.5,183.333333,1.5,1.5,0.833333
day_pbf_3,M05,Linear Approximation,B0CRH28P3Z,success,,3,4.0,114.285714,4.0,1.714286,0.142857
day_pbf_3,M05,Linear Approximation,B0CWL5CY6S,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CWLBNHQJ,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0CYSWN5DJ,success,,3,3.0,225.0,3.0,2.25,1.25
day_pbf_3,M05,Linear Approximation,B0CYSZBGQZ,success,,3,0.666667,200.0,0.666667,1.0,1.0
day_pbf_3,M05,Linear Approximation,B0CZ6X8KKY,success,,3,0.833333,150.0,0.833333,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0D1K7KT6S,success,,3,3.0,300.0,3.0,9.0,2.0
day_pbf_3,M05,Linear Approximation,B0D1TMJ778,success,,3,2.666667,142.857143,2.666667,1.142857,0.428571
day_pbf_3,M05,Linear Approximation,B0D1TQ9SX3,success,,3,2.5,130.0,2.5,1.5,0.3
day_pbf_3,M05,Linear Approximation,B0D1TST78J,success,,3,2.666667,200.0,2.666667,2.666667,1.0
day_pbf_3,M05,Linear Approximation,B0D1TVCZ1B,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0D41179DF,success,,3,1.0,250.0,1.0,1.5,1.5
day_pbf_3,M05,Linear Approximation,B0D6YW956F,success,,3,2.833333,225.0,2.833333,1.416667,1.25
day_pbf_3,M05,Linear Approximation,B0D6Z39PJ9,success,,3,3.166667,150.0,3.166667,0.730769,0.5
day_pbf_3,M05,Linear Approximation,B0D7VK61PM,success,,3,1.166667,50.0,1.166667,3.5,-0.5
day_pbf_3,M05,Linear Approximation,B0D8HSZ3HG,success,,3,7.166667,125.862069,7.166667,0.741379,0.258621
day_pbf_3,M05,Linear Approximation,B0D8J44SK7,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0DB26MDYC,success,,3,0.333333,150.0,0.333333,0.5,0.5
day_pbf_3,M05,Linear Approximation,B0DC5Y2CFQ,success,,3,18.833333,151.333333,18.833333,0.753333,0.513333
day_pbf_3,M05,Linear Approximation,B0DC5YLJRS,success,,3,15.333333,110.416667,15.333333,0.958333,0.104167
day_pbf_3,M05,Linear Approximation,B0DCBZNM8W,success,,3,0.666667,150.0,0.666667,1.0,0.5
day_pbf_3,M05,Linear Approximation,B0DCP1XYK4,success,,3,2.166667,250.0,2.166667,6.5,1.5
day_pbf_3,M05,Linear Approximation,B0DCP2WVH3,success,,3,2.0,100.0,2.0,0.666667,0.0
day_pbf_3,M05,Linear Approximation,B0DCVTRSYL,success,,3,2.333333,120.0,2.333333,1.4,0.2
day_pbf_3,M05,Linear Approximation,B0DCZJKKYZ,success,,3,1.5,125.0,1.5,2.25,0.25
day_pbf_3,M05,Linear Approximation,B0DDXTK193,success,,3,14.333333,156.666667,14.333333,1.433333,0.566667
day_pbf_3,M05,Linear Approximation,B0DHCDYQVV,success,,3,2.166667,150.0,2.166667,1.3,0.5
day_pbf_3,M05,Linear Approximation,B0DHTTFSQF,success,,3,2.5,12.5,2.5,1.875,-0.875
day_pbf_3,M05,Linear Approximation,B0DJMQ6FB4,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0DJMQX75K,success,,3,6.0,205.882353,6.0,1.058824,1.058824
day_pbf_3,M05,Linear Approximation,B0DK14LJ9K,success,,3,2.333333,140.0,2.333333,1.4,0.4
day_pbf_3,M05,Linear Approximation,B0DK15J8C9,success,,3,3.833333,178.571429,3.833333,1.642857,0.785714
day_pbf_3,M05,Linear Approximation,B0DKG3TVMZ,success,,3,1.666667,100.0,1.666667,2.5,0.0
day_pbf_3,M05,Linear Approximation,B0DLNMRGYD,success,,3,1.666667,66.666667,1.666667,1.666667,-0.333333
day_pbf_3,M05,Linear Approximation,B0DM8RK8CH,success,,3,0.166667,0.0,0.166667,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0DM97W294,success,,3,2.166667,87.5,2.166667,1.625,-0.125
day_pbf_3,M05,Linear Approximation,B0DM98MJSS,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0DPWVZHKF,success,,3,8.666667,143.478261,8.666667,0.565217,0.434783
day_pbf_3,M05,Linear Approximation,B0DPWXX689,success,,3,10.166667,134.615385,10.166667,0.782051,0.346154
day_pbf_3,M05,Linear Approximation,B0DPYJH6WZ,success,,3,1.166667,75.0,1.166667,1.75,-0.25
day_pbf_3,M05,Linear Approximation,B0DR291RSW,success,,3,0.5,125.0,0.5,0.75,0.25
day_pbf_3,M05,Linear Approximation,B0DSFP2PGQ,success,,3,1.0,100.0,1.0,3.0,0.0
day_pbf_3,M05,Linear Approximation,B0DSVFNL6H,success,,3,2.833333,135.714286,2.833333,1.214286,0.357143
day_pbf_3,M05,Linear Approximation,B0DT99PJPD,success,,3,3.0,166.666667,3.0,3.0,0.666667
day_pbf_3,M05,Linear Approximation,B0DXFBCP4K,success,,3,11.5,168.518519,11.5,1.277778,0.685185
day_pbf_3,M05,Linear Approximation,B0DYV6LF8B,success,,3,6.333333,145.0,6.333333,0.95,0.45
day_pbf_3,M05,Linear Approximation,B0DYV7F7FY,success,,3,13.0,124.242424,13.0,1.181818,0.242424
day_pbf_3,M05,Linear Approximation,B0F18RMRNM,success,,3,4.833333,153.571429,4.833333,1.035714,0.535714
day_pbf_3,M05,Linear Approximation,B0F1MXTY5G,success,,3,2.166667,108.333333,2.166667,1.083333,0.083333
day_pbf_3,M05,Linear Approximation,B0F1T6XX5W,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0F216G4LP,success,,3,1.666667,133.333333,1.666667,1.666667,0.333333
day_pbf_3,M05,Linear Approximation,B0F29BPRS9,success,,3,0.666667,100.0,0.666667,1.0,0.0
day_pbf_3,M05,Linear Approximation,B0F2FL8VTC,success,,3,4.166667,127.777778,4.166667,1.388889,0.277778
day_pbf_3,M05,Linear Approximation,B0F2SXBWND,success,,3,4.166667,150.0,4.166667,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0F387V2TP,success,,3,4.166667,212.5,4.166667,3.125,1.125
day_pbf_3,M05,Linear Approximation,B0F38CVQNL,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0F48124VG,success,,3,0.833333,150.0,0.833333,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0F484FL35,success,,3,2.666667,128.571429,2.666667,1.142857,0.285714
day_pbf_3,M05,Linear Approximation,B0F5PM7CBH,success,,3,0.833333,150.0,0.833333,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0F6V5H17H,success,,3,0.666667,0.0,0.666667,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0F888CXTR,success,,3,0.666667,0.0,0.666667,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0F8Z879Y3,success,,3,0.166667,0.0,0.166667,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0F93D1V91,success,,3,4.833333,150.0,4.833333,0.763158,0.5
day_pbf_3,M05,Linear Approximation,B0F99LQHP9,success,,3,0.333333,150.0,0.333333,0.5,0.5
day_pbf_3,M05,Linear Approximation,B0F9YKQD75,success,,3,2.833333,58.333333,2.833333,1.416667,-0.416667
day_pbf_3,M05,Linear Approximation,B0FCSCBJGB,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0FDQS6NY4,success,,3,1.666667,183.333333,1.666667,0.833333,0.833333
day_pbf_3,M05,Linear Approximation,B0FFMV6VR2,success,,3,1.0,100.0,1.0,3.0,0.0
day_pbf_3,M05,Linear Approximation,B0FFSZ4MGN,success,,3,0.833333,83.333333,0.833333,0.833333,-0.166667
day_pbf_3,M05,Linear Approximation,B0FG7LXJCL,success,,3,1.833333,116.666667,1.833333,1.833333,0.166667
day_pbf_3,M05,Linear Approximation,B0FG7M4HR5,success,,3,2.5,125.0,2.5,1.25,0.25
day_pbf_3,M05,Linear Approximation,B0FG7RTH25,success,,3,2.5,110.0,2.5,1.5,0.1
day_pbf_3,M05,Linear Approximation,B0FG88HKMG,success,,3,1.0,150.0,1.0,1.5,0.5
day_pbf_3,M05,Linear Approximation,B0FG88HSWH,success,,3,0.5,0.0,0.5,0.0,0.0
